Time, Variation Distance, Total Energy, Number of Interactions, Plus Nodes, Minus Nodes, Energyexchanged
0, 25.126532692873266 , 49.4740594059406 , 0.0, 50.04 , 50.96, 49.4740594059406
100, 18.0501174322502 , 47.84519742023118 , 44.65, 49.57 , 51.43, 48.91551103168695
200, 16.222168364051086 , 47.403156651743956 , 57.38, 49.81 , 51.19, 48.34687866710167
300, 15.278481165713366 , 47.173092853483176 , 63.54, 50.38 , 50.62, 48.095358313806656
400, 14.777338078225823 , 47.02703598596287 , 67.62, 50.73 , 50.27, 47.911428383265864
500, 14.349579469727123 , 46.92739879260184 , 70.38, 50.92 , 50.08, 47.8243141658253
600, 14.037336119059004 , 46.84888858224426 , 72.44, 51.1 , 49.9, 47.71648694081524
700, 13.799613602077548 , 46.785127344915836 , 73.95, 51.0 , 50.0, 47.63003700541454
800, 13.668225626059373 , 46.75552363073172 , 74.95, 51.14 , 49.86, 47.56982427548759
900, 13.527769855135041 , 46.72023853220213 , 75.82, 51.2 , 49.8, 47.51102467229608
1000, 13.402376200905742 , 46.687435467157236 , 76.82, 51.17 , 49.83, 47.481499680743525
