Time, Variation Distance, Total Energy, Number of Interactions, Plus Nodes, Minus Nodes, Energyexchanged
0, 25.126532692873266 , 49.4740594059406 , 0.0, 50.04 , 50.96, 49.4740594059406
100, 18.74569826625773 , 47.837381960653886 , 41.22, 49.33 , 51.67, 48.82725421478146
200, 16.911967605089405 , 47.299846037727114 , 53.42, 49.77 , 51.23, 48.234134387699775
300, 15.896580924747362 , 46.993733464922606 , 60.31, 49.89 , 51.11, 47.74660664551717
400, 15.239606081187546 , 46.79632957015905 , 65.22, 49.93 , 51.07, 47.640612823130205
500, 14.810225910001924 , 46.65228551558444 , 68.73, 49.95 , 51.05, 47.26562778896392
600, 14.516001606842028 , 46.54958469730731 , 71.34, 50.01 , 50.99, 47.11140717151882
700, 14.2718465416052 , 46.473374192642844 , 73.36, 49.99 , 51.01, 46.96949278825189
800, 14.064960100128836 , 46.40780701161123 , 75.13, 49.91 , 51.09, 47.190646633626095
900, 13.929924311869064 , 46.360501361220614 , 76.49, 49.81 , 51.19, 46.764201975910595
1000, 13.827380968772182 , 46.318921841774575 , 77.62, 49.8 , 51.2, 46.55776902492214
