Time, Variation Distance, Total Energy, Number of Interactions, Plus Nodes, Minus Nodes, Energyexchanged
0, 25.126532692873266 , 49.4740594059406 , 0.0, 50.04 , 50.96, 49.4740594059406
100, 14.211452994085912 , 47.03131268275446 , 88.18, 49.84 , 51.16, 48.68700375418601
200, 9.271209346567025 , 45.79056991535854 , 155.8, 49.54 , 51.46, 47.76877184154386
300, 6.6026209377077585 , 45.10697866935688 , 210.53, 50.16 , 50.84, 47.1067009752808
400, 5.0266458469029445 , 44.68829096408032 , 257.81, 50.73 , 50.27, 46.600337946236294
500, 4.017467121148282 , 44.40656792399389 , 300.85, 50.7 , 50.3, 46.21813267793786
600, 3.2725682612173133 , 44.2062192394967 , 340.51, 50.28 , 50.72, 45.91955170730928
700, 2.7585504748346814 , 44.05678286675428 , 377.39, 50.25 , 50.75, 45.68116820416135
800, 2.383233414281806 , 43.94267746512024 , 411.35, 49.31 , 51.69, 45.479879227470846
900, 2.0696151825110602 , 43.852116464289914 , 444.06, 49.37 , 51.63, 45.31011146906495
1000, 1.822859745357778 , 43.77744126729137 , 474.45, 49.66 , 51.34, 45.16106016167746
